,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,pushblishDayName,durationSecs,tagCount,title_no_stopwords
0,ZATo4UZ4Ff4,Ajay Raj,A Journey to the Coldest Desert of India | Ladakh in Winters,"This winter, we journeyed to Ladakh, where we encountered its harsh temperatures and the serene solitude of its natural landscapes.

Lets Connect
Instagram : https://www.instagram.com/a._j.a.y/ 
Linkedin : https://www.linkedin.com/in/ajay-raj-5548b0199/

We are 1,79,473

––––––––––––––––––––––––––––––
Music and sound effects by epidemic sounds
https://www.epidemicsound.com/referra...
––––––––––––––––––––––––––––––
Business Queries
     asktechskool@gmail.com","['ladakh', 'ladakhtrip', 'ladakhtour', 'manalitolehladakhroadtrip', 'lehladakh2022', 'ajay raj', 'ladakh trip', 'ladakh tour', 'ladakh road trip', 'ladakh bike trip', 'ladakh road trip expense', 'ladakh itinerary 10 days', 'leh ladakh', 'leh to srinagar circuit', 'winter ladakh', 'ladakh in winters', 'hanle', 'nubra valley', 'stargazing in hanle', 'umlingla', 'khardungla', 'leh in winters', 'pangong in winters', 'pangong lake', 'dosto ke sath ladakh']",2024-02-14 13:54:42+00:00,149442.0,11508.0,,946.0,PT24M5S,hd,false,Wednesday,1445.0,25,"['A', 'Journey', 'Coldest', 'Desert', 'India', '|', 'Ladakh', 'Winters']"
1,uAyf4HkrEGY,Ajay Raj,I took the Three90 challenge | The reality of Geeks for Geeks,"Ab aap bhi lelo 90% Refund- https://bit.ly/3U6dIUL


Lets Connect
Instagram : https://www.instagram.com/a._j.a.y/ 
Linkedin : https://www.linkedin.com/in/ajay-raj-5548b0199/

We are 1,76,627

––––––––––––––––––––––––––––––
Music and sound effects by epidemic sounds
https://www.epidemicsound.com/referra...
––––––––––––––––––––––––––––––
Business Queries
     asktechskool@gmail.com","['geeks for geeks', 'three90 challenge', 'gfg', 'learning Python', 'coding', 'python vs c++', 'i took the three90 challenge', 'basics of coding', 'how to learn to code', 'how to learn coding']",2024-01-23 16:22:52+00:00,25845.0,1490.0,,104.0,PT6M55S,hd,false,Tuesday,415.0,10,"['I', 'took', 'Three90', 'challenge', '|', 'The', 'reality', 'Geeks', 'Geeks']"
2,-q97qp7oSys,Ajay Raj,This is how Ladakh Looks in Winter !,"This winter, we visited Ladakh and experienced the harsh temperature. I will be posting the full video soon.

Lets Connect
Instagram : https://www.instagram.com/a._j.a.y/ 
Linkedin : https://www.linkedin.com/in/ajay-raj-5548b0199/

We are 1,75,726

––––––––––––––––––––––––––––––
Music and sound effects by epidemic sounds
https://www.epidemicsound.com/referra...
––––––––––––––––––––––––––––––
Business Queries
     asktechskool@gmail.com",,2024-01-18 17:29:29+00:00,32171.0,3033.0,,195.0,PT53S,hd,false,Thursday,53.0,0,"['This', 'Ladakh', 'Looks', 'Winter', '!']"
3,WCnvHALYPmQ,Ajay Raj,How IIT Madras Certified GUVI is Helping to Learn Coding in Native Languages,"Explore more about GUVI Courses- https://bit.ly/48lYSO5

GUVI is an IIT Madras incubated online educational platform to learn IT skills in India which comes with 100% job placement assistance. The courses are for students and working professionals in Indian languages such as tamil Telugu, Kannada, Bengali, Hindi, and in English. GUVI's mission is ""to make technical education available to all in their native languages.

Lets Connect
Instagram : https://www.instagram.com/a._j.a.y/ 
Linkedin : https://www.linkedin.com/in/ajay-raj-5548b0199/

Check Out My Gears 🎬
🎥 SONY A7C : https://amzn.to/2WG64oE   
🎥 Tamaron 28-75 f/2.8  : https://amzn.to/3jvetEe
🎙  Boya mic : https://amzn.to/37iiy6A 
      Tripod : https://amzn.to/2QwMgyG
      Laptop : https://amzn.to/2rX0ezJ

We are 1,73,884

––––––––––––––––––––––––––––––
Music and sound effects by epidemic sounds
https://www.epidemicsound.com/referra...
––––––––––––––––––––––––––––––
Business Queries
     asktechskool@gmail.com","['Guvi', 'guvi', 'what is guvi', 'learn coding in native language', 'coding', 'data structures and algorithm', 'IIT Madras', 'podcast', 'leaning dsa and algorithm', 'how to learn dsa', 'learning dsa', 'from where to learn dsa', 'learn dsa in 2024', 'learn DSA in 3 month', 'is dsa relevant in 2024', 'android development', 'machine learning', 'learn UI/UX', 'learn data science', 'data science']",2024-01-08 12:30:23+00:00,15292.0,478.0,,37.0,PT14M21S,hd,false,Monday,861.0,20,"['How', 'IIT', 'Madras', 'Certified', 'GUVI', 'Helping', 'Learn', 'Coding', 'Native', 'Languages']"
4,lFllVLTXI1k,Ajay Raj,The Bucketlist Goa Trip,"The Bucketlist Goa Trip | 5 Must-do things in Goa 

On a journey to live life to fullest and document it as well
https://www.youtube.com/watch?v=aV9gfuUhegE&list=PLNc5V-qPy9tJUYa8jknht7-JXpppVKz7g&pp=gAQBiAQB

Instagram 
Shivam : https://www.instagram.com/vikas_kum.ar?igsh=MW1qYmNkdTlxZ3k1Nw==
Aayush : https://www.instagram.com/aayush9247?igsh=MWVjcmUxaTk5c3R0dQ==
Vikas : https://www.instagram.com/vikas_kum.ar?igsh=MW1qYmNkdTlxZ3k1Nw==

Lets Connect
Instagram : https://www.instagram.com/a._j.a.y/ 
Linkedin : https://www.linkedin.com/in/ajay-raj-5548b0199/

Check Out My Gears 🎬
🎥 SONY A7C : https://amzn.to/2WG64oE   
🎥 Tamaron 28-75 f/2.8  : https://amzn.to/3jvetEe
🎙  Boya mic : https://amzn.to/37iiy6A 
      Tripod : https://amzn.to/2QwMgyG
      Laptop : https://amzn.to/2rX0ezJ

We are 1,68,963

––––––––––––––––––––––––––––––
Music and sound effects by epidemic sounds
https://www.epidemicsound.com/referra...
––––––––––––––––––––––––––––––
Business Queries
     asktechskool@gmail.com","['Goa', 'Goa Travel Guide', 'must visit places in goa', 'goa vlog', 'goa cinematic vlog', 'the goa trip', 'bagga beach', 'North goa', 'goa trip plan', 'goa tourist place', 'goa travel vlog', 'north goa tour', 'south goa', 'scubadiving in goa', 'water sports goa', 'candolim beach', 'dudhsagar waterfall', 'dudhsagar', 'goa waterfall', 'dudhsagar fall', 'sunburn goa', 'casino in goa', 'cruise in goa', 'deltin royal casino', 'sunset in goa', 'chapora fort', 'ajay raj']",2023-12-24 06:31:31+00:00,126398.0,8707.0,,446.0,PT11M18S,hd,true,Sunday,678.0,27,"['The', 'Bucketlist', 'Goa', 'Trip']"
5,ak-Ei831dtk,Ajay Raj,A Journey to Deadliest Roads of Spiti Valley,"A Journey to Deadliest Roads of Spiti Valley

In this video, I've shared the exhilarating experience of navigating the challenging roads of Spiti Valley. From winding paths to high-altitude passes, witness the breathtaking landscapes of the Himalayas. Explore the warm hospitality of the locals, discover ancient monasteries, and feel the thrill of conquering some of the world's riskiest terrains. Whether you're a biking enthusiast or simply craving an adventure, this video captures the essence of the Spiti Valley journey, offering awe-inspiring views and heart-pounding moments.

Instagram
Shubhanshu : https://instagram.com/shubhanshu._.chaudhary?igshid=OGQ5ZDc2ODk2ZA==
Shantanu : https://instagram.com/ishantanu_s?igshid=OGQ5ZDc2ODk2ZA==
Animesh : https://instagram.com/animesh_360?igshid=OGQ5ZDc2ODk2ZA==
Utsav : https://instagram.com/moj_le_rhe_h?igshid=OGQ5ZDc2ODk2ZA==
Abhishek : https://instagram.com/abhishek__4o4?igshid=OGQ5ZDc2ODk2ZA==
Sanyam : https://instagram.com/sanyam.ss99?igshid=OGQ5ZDc2ODk2ZA==

Map Animation and Thumbnail 
Harmish : https://instagram.com/desiblender?igshid=NGVhN2U2NjQ0Yg==

Do Checkout LearnYard
https://classroom.learnyard.com/cohort/Eki60SCvYO?ref=cwuBWVZk1Lao&code=AJAY25

Check Out My Gears 🎬
🎥 SONY A7C : https://amzn.to/2WG64oE   
🎥 Tamaron 28-75 f/2.8  : https://amzn.to/3jvetEe
        Poco X2 : https://amzn.to/37hHyuL
🎙  Boya mic : https://amzn.to/37iiy6A 
      Tripod : https://amzn.to/2QwMgyG
      Laptop : https://amzn.to/2rX0ezJ

We are 1,60,903 

––––––––––––––––––––––––––––––
Music and sound effects by epidemic sounds
https://www.epidemicsound.com/referra...
––––––––––––––––––––––––––––––
Business Queries
     asktechskool@gmail.com","['spiti valley', 'spiti road trip', 'spiti bike trip', 'road trip to spiti valley', 'kinnaur valley', 'kalpa', 'dhankar village', 'spiti', 'spiti vs ladakh', 'a journey to spiti', 'a complete travel guide to spiti valley', 'Himachal Pradesh', 'delhi to spiti valley', 'key monastrey', 'lahaul spiti valley', 'places to visit in spiti valley', 'manali to kaza', 'pin valley', 'kaza', 'chicham bridge', 'komic village', 'langza village', 'chandrataal', 'spiti circuit', 'spiti itenary']",2023-12-13 06:58:44+00:00,459849.0,26436.0,,2007.0,PT30M59S,hd,true,Wednesday,1859.0,25,"['A', 'Journey', 'Deadliest', 'Roads', 'Spiti', 'Valley']"
6,BSb2iHVc2oQ,Ajay Raj,"The Making of "" I Resigned From Google "" @mohammadfraz","Do checkout it out !!!
Link to our DSA Course - https://learnyard.com/courses/dsa
Check out https://learnyard.com
Link to our Premium Articles - https://read.learnyard.com

Steve : https://instagram.com/ste_vision?igshid=YzAwZjE1ZTI0Zg%3D%3D&utm_source=qr

Lets Connect
Instagram : https://www.instagram.com/a._j.a.y/ 
Linkedin : https://www.linkedin.com/in/ajay-raj-5548b0199/

Check Out My Gears 🎬
🎥 SONY A7C : https://amzn.to/2WG64oE   
🎥 Tamaron 28-75 f/2.8  : https://amzn.to/3jvetEe
      Tripod : https://amzn.to/2QwMgyG
      Laptop : https://amzn.to/2rX0ezJ


We are 1,57,041

––––––––––––––––––––––––––––––
Music and sound effects by epidemic sounds
https://www.epidemicsound.com/referral/agasng/
––––––––––––––––––––––––––––––
Business Queries
     asktechskool@gmail.com","['google', 'Software engineer', 'software engineer at google', 'I resigned from google', 'fraz', 'ajay raj', 'ajay raj paytm', 'why I resigned from google', 'faang', 'sde']",2023-11-23 12:39:08+00:00,65568.0,2960.0,,136.0,PT10M11S,hd,false,Thursday,611.0,10,"['The', 'Making', '""', 'I', 'Resigned', 'From', 'Google', '""', '@mohammadfraz']"
7,Oj7wkdYAqa0,Ajay Raj,How I met Paytm Founder Vijay Shekhar Sharma !!!,"On a very random day I got a chance to meet ceo and founder of the company where I work as a software developer and here’s the story how I met Vijay Shekhar Sharma

Lets Connect
Instagram : https://www.instagram.com/a._j.a.y/ 
Linkedin : https://www.linkedin.com/in/ajay-raj-5548b0199/

Check Out My Gears 🎬
🎥 SONY A7C : https://amzn.to/2WG64oE   
🎥 Tamaron 28-75 f/2.8  : https://amzn.to/3jvetEe
      Tripod : https://amzn.to/2QwMgyG
      Laptop : https://amzn.to/2rX0ezJ


We are 1,57,041

––––––––––––––––––––––––––––––
Music and sound effects by epidemic sounds
https://www.epidemicsound.com/referral/agasng/
––––––––––––––––––––––––––––––
Business Queries
     asktechskool@gmail.com","['day in life', 'day in life of software engineer at paytm', 'paytm', 'software engineer at paytm', 'software engineer', 'sde', 'software engineering', 'development', 'software development', 'software developer', 'software developer at paytm', 'software engineer banaglore', 'software engineer life', 'life of software engineer', 'what software engineer do', 'meeting vijay shekhar sharma', 'vss', 'paytm founder', 'unexpected meeting with paytm founder', 'paytm karo']",2023-11-10 12:30:26+00:00,147081.0,9233.0,,289.0,PT9M45S,hd,true,Friday,585.0,20,"['How', 'I', 'met', 'Paytm', 'Founder', 'Vijay', 'Shekhar', 'Sharma', '!!!']"
8,k2_QeUD8H80,Ajay Raj,Rebuilding a Career after a Revoked Placement | How he Placed to Sony after multiple Rejections,"If you are seeking a comprehensive and structured curriculum for language, data structures and algorithms (DSA), project development, resume building, mock interviews, and job placements, consider enrolling in Crio.do's Fellowship program in Software Development, just as Subir did. You can explore this opportunity further by booking a free trial. Learn more here:
Link -  https://rebrand.ly/7gsbs79
Here's Subir's linkedin profile where you can connect with him : https://linkedin.com/in//


Lets Connect
Instagram : https://www.instagram.com/a._j.a.y/ 
Linkedin : https://www.linkedin.com/in/ajay-raj-5548b0199/

Check Out My Gears 🎬
🎥 SONY A7C : https://amzn.to/2WG64oE   
🎥 Tamaron 28-75 f/2.8  : https://amzn.to/3jvetEe
      Tripod : https://amzn.to/2QwMgyG
      Laptop : https://amzn.to/2rX0ezJ


We are 1,55,941

––––––––––––––––––––––––––––––
Music and sound effects by epidemic sounds
https://www.epidemicsound.com/referral/agasng/
––––––––––––––––––––––––––––––
Business Queries
     asktechskool@gmail.com","['data structure', 'learning data structure', 'software engineering', 'Product based', 'Service based to product based', 'Software Developer', 'How much software developer earn', 'Salary of software engineer in india', 'Tier 3 college to product based company', 'Google', 'Microsoft', 'Maang', 'offer revoked', 'accenture to sony', 'Journey from Service Based to Product Based Company', 'crio', 'project for placement', '300%salary hike', 'placed', 'placement', 'product based placement']",2023-10-05 14:42:24+00:00,8385.0,343.0,,33.0,PT26M1S,hd,false,Thursday,1561.0,21,"['Rebuilding', 'Career', 'Revoked', 'Placement', '|', 'How', 'Placed', 'Sony', 'multiple', 'Rejections']"
9,FBoPiUxid8A,Ajay Raj,Best Programming and Editing Monitor For Software Engineers | BenQ GW2790QT,"If you're a software engineer who spends a significant amount of time working on a laptop and often experiences eye strain, then you should definitely consider checking out this monitor.

BenQ GW2790QT - https://www.benq.com/en-in/monitor/home/gw2790qt.html?utm_source=youtube.com&utm_medium=social&utm_campaign=lcd-productivity-review-gw2790qt-ajay-raj-youtube-202309&utm_content=review&utm_term=learn-more

Amazon Links 
https://amzn.to/3ZK1DWh

Lets Connect
Instagram : https://www.instagram.com/a._j.a.y/ 
Linkedin : https://www.linkedin.com/in/ajay-raj-5548b0199/

Check Out My Gears 🎬
🎥 SONY A7C : https://amzn.to/2WG64oE   
🎥 Tamaron 28-75 f/2.8  : https://amzn.to/3jvetEe
      Tripod : https://amzn.to/2QwMgyG
      Laptop : https://amzn.to/2rX0ezJ

We are 1,55,412

––––––––––––––––––––––––––––––
Music and sound effects by epidemic sounds
https://www.epidemicsound.com/referral/agasng/
––––––––––––––––––––––––––––––
Business Queries
     asktechskool@gmail.com","['software engineering', 'software engineer', 'Benq', 'programming monitor', 'programming', 'coding', 'my coding monitor', 'my programming monitor', 'my editing monitor', 'editing monitor', 'monitor', 'BenQ GW2790QT', 'My Programming and Editing Monitor', 'benq monitor review', 'BenQ GW2790QT monitor review', 'best monitor under 20000', 'best monitor under 30000', 'best monitor for programmers', 'best monitor for editors']",2023-09-24 13:33:41+00:00,62849.0,1434.0,,115.0,PT8M14S,hd,false,Sunday,494.0,19,"['Best', 'Programming', 'Editing', 'Monitor', 'For', 'Software', 'Engineers', '|', 'BenQ', 'GW2790QT']"
