,Comments
0,Stay Tuned !
1,"I'm getting impatient, when is the video coming out!!"
2,ohh bhai ajay!!!!!   daal bhi de video  aabbbbbb kitnaa wait karvayega bhai
3,Waitingg🥳
4,Kab aaa raha he pura vlog  plzzz bTa do bhai😍
5,Bro jaldi videoo laooo muje bhi experience karna he ladakh ap ki video se aur ha cinematic shot mat bhul na video me
6,When is it coming?? I am soo exciteddd
7,Bhai ab toh daal do😢
8,Which month?
9,Kbh daaloge bhaiya
10,woah woah tag laganan chalu
11,❤❤❤❤❤❤❤❤
12,Chaina valo ke ma kaa 😂😂😂😂
13,Cant wait
14,Kis kisko jaanna hai planning and budget trip ki?
15,"Subscribed.
You are the only travel vloger I like."
16,Staying Tuned
17,"bhaai jaldi daal doo, wait nahi ho rahaaaaaaaa"
18,China walo ki ma ka wut?
19,waiting for another masterpiece
20,Bro you are just creating masterpiece after masterpiece. I believe you are a literal film maker
21,Another creation coming baby woooo🤩
22,बस भावा कडक ❤
23,Eagerly waiting for full video!❤
24,Bhai cuet leet ke liye book kaha se le or konsi le ; please bhai is topic par ek video dal do
25,"Bhai Ma Chaina walo ki Ho Ya Apki MA To Ma😊 hoti hai aur ek Ma ko gali Matlab khud ki Ma aur sab ma ko bhi gali kuki sab apni Ma ko MA hi bulate hai personly ye muje accha nahi laga.Sorry bhai, I quit you're video now ."
26,Definitely a Masterpiece ❤
27,"Just looking like a wow loved it man, sometimes post tutorials as well and behind the scenes"
28,Bhai Kitni baar ladakh jayega ?? 😅
29,"Who says you are an engineer, You are  Film maker 🙏🔥"
30,https://youtu.be/1SXvioH_7zw?si=Y-ywpUzF66aPWC9E
31,I must SAY you guys are too GOOD
32,Promo is 💥
33,"Ek Baat bhai puch na hai...itna clarity,clear sound kese edit karte ho..."
34,"You’re video looks good, you should make a documentary of this trip 💀"
35,Sir your editing and story telling is next level. Great work.
36,Bhai apka trailer dekh ke Jan agaya ❤
37,"Dear Ajay, I really loved your travel video definitely learning from you. Thanks for the such great content."
38,Please upload ASAP❤
39,0:37 Bhai Yeh Unexpected thaaa 😂
40,Editing and the view🔥
41,Can't wait
42,Long video kha h?
43,Mountain area to visit kr liya ab thoda south ki taraf visit kto
44,Bhai jis hisaab se jaraha hai ekdin Ajay ki koi movie aayegi .........
45,Bawa intezar hai daal do bss
46,BIG FAN OF YOUR BUCKET LIST ❤
47,GOOSEBUMPS ❤
48,Which drone you use???
49,Waiting for winter ladakh video😮😮😮
50,"Bhai 1 video mat dalo, ek series banao , tabhi toh maja aata hain"
51,Bro 😎
52,Bro Konsa drone use karte ho
53,"Goosebumps ....
Revenue generate se jyda ...
Feel important hai video  mai ...
Bole to bgm giving goosebumps 🫰✨"
54,"Another masterpiece ⚡⚡
Best part China walo ki 😂"
55,Bhai mostly videos main copyright hota music ki waja se😅
56,Eagerly waiting for a masterpiece🤩🤩
57,Master piece is coming soon ❤
58,extremely waiting
59,Chaina ki maa ka bho......😂😂😂😂😂
60,Bro love u r editing ❤❤
61,I like the way you edit or tell stories that are awesome❤
62,hey bro! how do you use bollywood movie songs for the video? doesn’t the video get copyright striked?
63,GooseBumps! ❤
64,Bro when ?
65,0:37 😂😂
66,"*ONE LIFE , LIVE IT LARGE*
Ajay bhaiya ne ye baat dil pe leli hai 😎😎🙏🙏🔥🔥❤️❤️❤️❤️❤️"
67,0:36 😂😂😂😂😂😂❤️❤️❤️❤️
68,That part china walo ki
69,0:36 best ❤❤❤
70,worst background music ever😢
71,Teaser launched 🔥
72,editing mein kill kar dena bhaiyaa🎉❤
73,Eagerly waiting for full movie❤❤
74,woahhhh againnn!!!!
75,AJAY BHAI JALDI VIDOE UPLOAD KARNA. TRAILER ITNA DHAMAKEDAR HE TO PURI FILM KYA KAMAL HONGI.I CANT WAIT PLEASE UPLOAD JALDI YAAR WITH CHAINA WALE KI MA KA ........... FULL.🤣🤣🤣
76,Damn.... Waiting for it 😊
77,FAAD 🔥🔥
78,China valo ki😂 kadak bro
79,Ladakh didn't experience any snowfall  this winter😂
80,0:23 -- remember this bridge .. its from 3 idiots .. when Raju gets to know that Kareena is getting married ..
81,Brother biggest fan of your work ❤❤ love from assam
82,Againnnnnn ladakh diaries ❤❤
83,"Bro, Kab ayega video?"
84,"BRO I cant explain how much i love your videos !
Inspiration ❤️🎯"
85,Another blockbuster loading 🌟
86,Bhai ka kaam he alag hai ❤
87,Woahh 🔥
88,Kya maja aa rha hai -3 sunke
89,China walo ki is epic😂😂
90,"ajay bhai how to get these type of bollywood songs or music without copywrite plz help , and i also like your videos love u"
91,Eagerly Waiting for the Masterpiece 😍
92,🙌  superb...
93,You are living my dream💗🔥
94,"Really, worth it to subscribe you bhai."
95,Bro i need suggestion that how you do edit the voice over
96,😍
97,New ep🎉🎉
98,"Another Masterpiece processing....
Loads of love Ajay bhai ❤"
99,waiting bro
100,Waiting for full video ❤️
101,Was eagerly waiting fir this ! ❤
102,Ajay Bhai Raha nahi jata.....🎉jaldi.......
103,Real Engineer + best group + enjoyment === Ajay raj bhai
104,😍🔥
105,Lit 🔥🔥
106,Legit
107,Jai shree ram 🕉️
108,Bhai muze laga Puri video aayi hai 😅😂
109,Million dollar viewssss
110,Goosebumps 😮
111,"Excited 
"
112,Why his videos are not downloadable
113,"Amazing oneee bhai!!!
Please make a video on Music selection"
114,0:29 😍
115,Bro knows it’s going to be a movie so released a trailer before 🔥
116,Rezangla 💪
117,Bro fast upload please I can’t wait dis vlog because u are great brother ❤️‍🔥
118,Just wow❤
119,Bhai jldi video daalo yrrr
120,this is called fucking cinema ajay bhai you are fucking nailing it
121,Bharat mata ki jai!! Drop the masterpiece brother!!
122,Pahle batao ispe copyright aata hai kya bhaiya.... Nahi toh kyun nahi
123,Much better than bollywood teasers🔥
124,Ajay bhai plzz date toh announce kardo😢
125,"full on teaser baazi!!
Ek nambarrrr"
126,❤❤❤
127,Always waiting. And congrats to your bro for new car❤
128,0:37 op bro .. video mai Pura dena😂
129,Can already sense the heat....🥵  very excited
130,❤❤❤❤❤
131,Rip for chaina wale😂😂😂😂
132,Mast h guru❤
133,Y'all did dirty to China💀💀!
134,0:37 the cut was real 😂😂
135,too excited for this one
136,❤❤❤❤
137,Ab hoga dhamaka.....Ajay bhai aap v it se mein v it se....milna chata hu bro..
138,Bro is going to create another masterpiece again
139,Are bhai garam krk thanda chod dia 😢
140,Ajay bhaiya really very excited and eager to watch 🔥🔥🔥
141,Eagerly waiting ❤
142,From where do u use all the bgm ?? Do u have any pack for it ??
143,Ye trailer toh film ke trailer se bhi mst h 😮aur upar se background music 🇮🇳
144,Chaina wale ki maka.... 😂😂😂
145,"0:37 abe ye kya h 😂,waise jo bhi kaha sahi kaha 😅
have a great, wonderful, fully enjoyable and safe experience bhaiya
waiting for this upcoming masterpiece 🔥"
146,fir ladakh? 🤧🤧
147,YouTube video ❌ Movie trailer ✅🌟😌
148,Jldi jldi comment kr deta hu like 😂milega🎉🎉
149,waiting for full video 📸😊
150,Can you tell me name of the drone that you use?
151,Ajay bhai ❤❤!!
152,China balo ki maa kaa😂😂
153,Big fan Ajay bhai! Keep it up
154,Looks like another banger is comming 🎉❤
155,Stay Tuned !
156,Ajayyyyy bhaiyya ❤❤❤❤❤
157,I loved your video
158,First comment plz pin
159,Waiting  for full video 🎉
160,"First view of DTU Student
Ab toh pin kardo Ajay bhaiya"
161,Apka resignation ka video kab ayega? Just joking
162,💙🤘
163,First ❤
164,How much does this trip cost you???
165,Waah kya video hai dill chuu gya
166,"Definitely first viewer ❤
And also waiting for full video ☺️"
167,😮😮🚩🔥🔥🔥🔥🔥
168,Love your editing ❤❤
169,first comment bhiya❤❤❤❤
170,Big fan Bhai ❤️
171,First comment
172,Ajay bhaiiiii❤❤❤❤
173,New 🥰
174,❤❤❤❤❤❤
175,❤
176,New video bro 😀??
177,I wish one day 😩💗
178,Bhaiya koi job milegi kya?? Apke Video Creation waale kaam mein..
179,Sukoon
180,Bhaiya DTU ajao kabhi Milne time nikal ke
181,Relax place ❤❤
182,Kitne din or kitni cost
183,bhai sahab goosebumps aa rha ha reel dekh k
184,Yes Bhaiya we want more Vlog like this 💙💙
185,Woooo m Leh Ladakh gyi video dal rihu youtub chln
186,Amazing❤
187,I love you’re Ladakh vlog that was so beautiful and I watch you’re video non stop that time ❤️
188,I love this place ❤❤
189,This trend started here 😊
190,Best short I've seen on yt worth watching..... Waiting for the vlog
191,Aaise he video bana yaar and Aerial shots ne tho video Jaan dalte video Mai yaar ❤❤❤
192,Waiting for next vlog ❤️
193,Nice ❤❤❤❤❤
194,I m also programmer and nature lover😅
195,Tumahari to baat hi alag hai ❤
196,Beautiful ❤❤
197,❤ keep it up bro
198,Achha kiya apne unn harami bachho k pas nahi roka
199,dream 😍😍
200,bhai ek job hi de do please
201,Wow 😳
202,Bhaiii kyaa gjbbb video haiiii❤️❤️❤️🥺🥺
203,lift to de dete
204,Vibe ❤
205,Your story telling is amazing bro keep growing ! I have seen your video multiple times because of your story telling.❤
206,Aur vlog laao bhai.. aisa hi
207,This reel got 1.4 million likes on Instagram but in YT just 5k views. 😢
208,Ap edit kise krte ho bhaiya or camera kon sa use kiye ho ❤❤❤❤❤❤❤
209,Best ❤❤❤❤
